CountryCode,Region,IncomeGroup,TableName,2017,2018,2019,2020
ABW,Latin America & Caribbean,High income,Aruba,3092430167.5977697,3202188606.9289303,,
AFG,South Asia,Low income,Afghanistan,18869945678.4215,18353881129.5246,19291104007.6135,19807067268.1084
AGO,Sub-Saharan Africa,Lower middle income,Angola,122123822333.59,101353230784.59401,89417190341.2533,62306913444.2917
ALB,Europe & Central Asia,Upper middle income,Albania,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
AND,Europe & Central Asia,High income,Andorra,3000180750.11297,3218316013.22626,3155065487.51819,
ARE,Middle East & North Africa,High income,United Arab Emirates,385605506848.19604,422215043594.28204,421142267937.372,
ARG,Latin America & Caribbean,Upper middle income,Argentina,643628665302.155,517626700412.885,445445177459.45294,383066977653.56
ARM,Europe & Central Asia,Upper middle income,Armenia,11527458565.7334,12457941907.0333,13672802157.8324,12645459213.5235
ASM,East Asia & Pacific,Upper middle income,American Samoa,612000000.0,641000000.0,638000000.0,
ATG,Latin America & Caribbean,High income,Antigua and Barbuda,1467977777.77778,1605351851.85185,1661962962.96296,1415059259.25926
AUS,East Asia & Pacific,High income,Australia,1329188475752.32,1432881172002.17,1396567014733.23,1330900925056.98
AUT,Europe & Central Asia,High income,Austria,416207272209.53796,454872626780.005,445075391688.156,428965397959.456
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882
BDI,Sub-Saharan Africa,Low income,Burundi,3172292379.36329,3036937141.27062,3012308945.62671,3258187232.63159
BEL,Europe & Central Asia,High income,Belgium,501522868356.44104,543410654016.60205,533254518108.234,515332499627.861
BEN,Sub-Saharan Africa,Lower middle income,Benin,12701655845.9612,14250987026.0533,14391686309.033,15651545208.8783
BFA,Sub-Saharan Africa,Low income,Burkina Faso,14106956830.0857,16059910870.6239,15990803569.9961,17369059295.2226
BGD,South Asia,Lower middle income,Bangladesh,249710922462.309,274038973437.275,302563398919.928,324239176765.053
BGR,Europe & Central Asia,Upper middle income,Bulgaria,58971520599.2509,66230155099.5775,68558815111.6199,69105101089.5531
BHR,Middle East & North Africa,High income,Bahrain,35473776595.7447,37652500000.0,38474521276.5957,
BHS,Latin America & Caribbean,High income,"Bahamas, The",12490700000.0,13022100000.0,13578800000.0,11250000000.0
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,18080118128.3854,20183510561.2553,20202479537.5193,19788422248.1072
BLR,Europe & Central Asia,Upper middle income,Belarus,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829
BLZ,Latin America & Caribbean,Lower middle income,Belize,1858529676.71857,1915899786.9640698,1982518540.6134,1763696118.9519
BMU,North America,High income,Bermuda,7142316000.0,7224329000.0,7484113000.0,
BOL,Latin America & Caribbean,Lower middle income,Bolivia,37508642170.767,40287647930.5355,40895322850.9407,36688861202.6049
BRA,Latin America & Caribbean,Upper middle income,Brazil,2063507864886.88,1916947014067.55,1877810514260.36,1444733258971.65
BRB,Latin America & Caribbean,High income,Barbados,4978000000.0,5086500000.0,5209000000.0,4365500000.0
BRN,East Asia & Pacific,High income,Brunei Darussalam,12128104859.1498,13567351175.0315,13469422941.3919,12016056665.3473
BTN,South Asia,Lower middle income,Bhutan,2450364928.07302,2446866404.93058,2530547157.56678,2409262838.21987
BWA,Sub-Saharan Africa,Upper middle income,Botswana,17405588070.4332,18663265549.0196,18362348887.5873,15781732825.8934
CAF,Sub-Saharan Africa,Low income,Central African Republic,2072349974.15257,2220979144.52018,2220307318.7488604,2303078337.5743103
CAN,North America,High income,Canada,1649265644244.09,1721853332869.63,1741576393905.98,1643407977068.93
CHE,Europe & Central Asia,High income,Switzerland,704478516963.855,735889205256.251,731474367940.4291,747968636174.0079
CHI,Europe & Central Asia,High income,Channel Islands,,,,
